BUSINESSID,X_Coord,Y_Coord,PARENTNAME,NAME,TRAFFIC_ZONE,FULL_ADDRESS,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIR,UNIT_NUM,COMMUNITY,MUNICIPALITY,PROVINCE,COUNTRY,POST_CODE,MAIL_FULL_ADDRESS,MAIL_STREET_NUM,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_UNIT_NUM,MAIL_COMMUNITY,MAIL_MUNICIPALITY,MAIL_PROVINCE,MAIL_COUNTRY,MAIL_POST_CODE,MAIL_POBOX,PRIM_NAICS,PRIM_NAICS_DESC,SEC_NAICS,SEC_NAICS_DESC,PRIM_BUS_CLUSTER,SEC_BUS_CLUSTER,BUS_ACTIVITY_DESC,MANUFACTURER,CAN_HEADOFFICE,HEADOFFICEPROVSTATE,HEADOFFICECOUNTRY,EMPLOYEE_RANGE,YR_CURRENTLOC,WEBSITE,GEN_BUS_EMAIL,PHONE_NO,PHONE_EXT,FAX_NO,TOLLFREE_NO,TOLLFREE_EXT,UPDATEMETHOD,LAST_SURVEYED,LAST_UPDATED
6914,633693,4853905, ,MAYFAIR EAST RAQUET AND FITNESS CLUB,1179,160 ESNA PARK DRIVE,160,ESNA PARK,Drive, , ,Markham,Markham,ONTARIO,CANADA,L3R1E3,160 ESNA PARK DRIVE,160,ESNA PARK,Drive, , ,Markham,Markham,ONTARIO,CANADA,L3R1E3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"RACQUET SPORT FACILITIES AND FITNESS FACILITY, MEMBERSHIP",0,0,ON,CANADA,20-49,1986,WWW.MAYFAIRCLUBS.COM,INFO@MAYFAIRCLUBS.COM,905-475-8833,0,905-479-4407, , ,In Person,12/20/2019,7/19/2019
7331,627316,4851519, ,FITNESS DEPOT,1148,55 GLEN CAMERON ROAD,55,GLEN CAMERON,Road, ,2A,Thornhill,Markham,ONTARIO,CANADA,L3T1P2,55 GLEN CAMERON ROAD,55,GLEN CAMERON,Road, ,2A,Thornhill,Markham,ONTARIO,CANADA,L3T1P2, ,45111,SPORTING GOODS STORES, , , , ,RETAIL FITNESS PRODUCTS,0,0,ON,CANADA,4-Jan,1996,WWW.FITNESSDEPOT.CA,JASONB@FITNESSDEPOT.CA,905-731-3339,0, , , ,In Person,12/20/2019,7/11/2019
8680,632347,4852662, ,C G EMERY INTERNATIONAL LTD.,1160,165 IDEMA ROAD,165,IDEMA,Road, , ,Thornhill,Markham,ONTARIO,CANADA,L3R1A9,165 IDEMA ROAD,165,IDEMA,Road, , ,Thornhill,Markham,ONTARIO,CANADA,L3R1A9, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,"WHOLESALER AND DISTRIBUTOR FOR SPORTING GOODS, FISHING AND HUNTING. SELL TO RETAILERS.",0,0,NA,NOT APPLICABLE,19-Oct,1983, ,INFO@CGEMERY.COM,905-475-6700,0,905-475-0650, , ,In Person,12/20/2019,7/19/2019
8884,631190,4853609,CITY OF MARKHAM,R J CLATWORTHY ARENA,1156,2400 JOHN STREET,2400,JOHN,Street, , ,Thornhill,Markham,ONTARIO,CANADA,L3T6G6,2400 JOHN STREET,2400,JOHN,Street, , ,Thornhill,Markham,ONTARIO,CANADA,L3T6G6, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,ARENA,0,0,NA,NOT APPLICABLE,4-Jan,1983,WWW.MARKHAM.CA, ,905-881-6363,0, , , ,other,12/20/2019,9/17/2019
9099,636213,4855575,CITY OF MARKHAM,MILLIKEN MILLS COMMUNITY CENTRE,1183,7600 KENNEDY ROAD,7600,KENNEDY,Road, , ,Markham,Markham,ONTARIO,CANADA,L3R9S5,7600 KENNEDY ROAD,7600,KENNEDY,Road, , ,Markham,Markham,ONTARIO,CANADA,L3R9S5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,100-499,1991,WWW.MARKHAM.CA, ,905-477-6410,0,905-944-3786, , ,other,12/20/2019,9/18/2019
9604,635456,4858656,CITY OF MARKHAM,CROSBY MEMORIAL COMMUNITY CENTRE,1187,210 MAIN UNIONVILLE STREET,210,MAIN UNIONVILLE,Street, , ,Unionville,Markham,ONTARIO,CANADA,L3R2G9,210 MAIN UNIONVILLE STREET,210,MAIN UNIONVILLE,Street, , ,Unionville,Markham,ONTARIO,CANADA,L3R2G9, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,20-49,1948,WWW.MARKHAM.CA, ,905-477-8583,0,905-477-2942, , ,other,12/20/2019,9/17/2019
9630,639814,4859467, ,THE CYCLEPATH,1216,29 MAIN MARKHAM STREET NORTH,29,MAIN MARKHAM,Street,N, ,Markham,Markham,ONTARIO,CANADA,L3P1X3,29 MAIN MARKHAM STREET NORTH,29,MAIN MARKHAM,Street,N, ,Markham,Markham,ONTARIO,CANADA,L3P1X3, ,45111,SPORTING GOODS STORES, , , , ,RETAIL SALES AND SERVICE OF BICYCLES,0,0,NA,NOT APPLICABLE,4-Jan,1989,WWW.CYCLEPATHMARKHAM.COM,CYCLEPATHMARKHAM@ROGERS.COM,905-294-8955,0, , , ,Phone,12/20/2019,8/16/2019
9947,631952,4856945, ,JUDY BEAUTY & FITNESS CENTRE,1172,5 MCINTOSH DRIVE,5,MCINTOSH,Drive, ,1,Markham,Markham,ONTARIO,CANADA,L3R8C7,5 MCINTOSH DRIVE,5,MCINTOSH,Drive, ,1,Markham,Markham,ONTARIO,CANADA,L3R8C7, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,81219,OTHER PERSONAL CARE SERVICES, , ,FITNESS CENTER (MEMBERSHIP) AND SPA BODY MASSAGE AND FACIAL,0,0,NA,NOT APPLICABLE,4-Jan,1994,WWW.JUDYBEAUTYCA.COM,JUDYBEAUTYCA@GMAIL.COM,905-940-2262,0,905-940-6783, , ,In Person,12/20/2019,5/17/2019
10762,631762,4854330, ,AMER SPORTS CANADA,1161,2700 14TH AVENUE,2700,14TH,Avenue, ,1,Markham,Markham,ONTARIO,CANADA,L3R0J1,2700 14TH AVENUE,2700,14TH,Avenue, ,1,Markham,Markham,ONTARIO,CANADA,L3R0J1, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,"SPORTING GOODS WHOLESALERS TO TRADE CUSTOMERS (INCLUDING SPORTING GOODS CHAINS, SPECIALTY RETAILERS, MASS MERCHANTS, FITNESS CLUBS, AND DISTRIBUTORS) AND ALSO DIRECTLY TO CONSUMERS THROUGH BRAND STORES, FACTORY OUTLETS, AND ONLINE. SALES/MARKETING OFFI",0,0,NA,NOT APPLICABLE,19-Oct,2006,WWW.AMERSPORTS.COM, ,905-470-9966,0, ,800-267-7506, ,In Person,12/20/2019,8/6/2019
10842,632756,4853260, ,MAYFAIR RACQUET & FITNESS CLUBS,1436,50 STEELCASE ROAD EAST,50,STEELCASE,Road,E, ,Markham,Markham,ONTARIO,CANADA,L3R1E8,50 STEELCASE ROAD EAST,50,STEELCASE,Road,E, ,Markham,Markham,ONTARIO,CANADA,L3R1E8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,55111,MANAGEMENT OF COMPANIES AND ENTERPRISES, , ,"FITNESS AND RECREATIONAL SPORTS FACILITY. SPORTS INCLUDE TENNIS, SQUASH, MULTI-PURPOSE GYM, SPA, AND WELLNESS SERVICES. ADMINISTRATIVE DUTIES FOR OTHER BRANCH LOCATIONS",0,1,ON,NOT APPLICABLE,50-99,1970,WWW.MAYFAIRCLUBS.COM,NPERSAUD@MAYFAIRCLUBS.COM,905-475-0350,0,905-475-7151, , ,In Person,12/20/2019,8/2/2019
10852,625634,4881754, ,JACK WATSON SPORTS INC.,1264,1180 KERRISDALE BOULEVARD,1180,KERRISDALE,Boulevard, ,7,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8Z9,1180 KERRISDALE BOULEVARD,1180,KERRISDALE,Boulevard, ,7,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8Z9, ,41447,AMUSEMENT AND SPORTING GOODS MERCHANT WHOLESALERS, , , , ,WHOLESALE SPORTING GOODS. SUPPLY SPORTING GOODS FOR SCHOOLS AND TOWNS,0,0,NA,NOT APPLICABLE,9-May,2009,WWW.JACKWATSONSPORTS.COM,SALES@JACKWATSONSPORTS.COM,905-953-0600,0,905-953-0191,800-586-5518, ,In Person,12/20/2019,5/10/2019
11427,633734,4853406, ,SPORTS EQUIPMENT OF TORONTO LTD.,1436,250 TELSON ROAD,250,TELSON,Road, , ,Markham,Markham,ONTARIO,CANADA,L3R1E6,250 TELSON ROAD,250,TELSON,Road, , ,Markham,Markham,ONTARIO,CANADA,L3R1E6, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,"WHOLESALER OF SPORTING GOODS TO SCHOOLS AND GOVERNMENTS AND RECEIVING CENTRES AND CAMPS. WHOLESALE ATHLETIC EQUIPMENT, GEARS, SHIRTS, BALLS",0,0,NA,NOT APPLICABLE,9-May,1982,WWW.SPORTSEQUIPMENTOFTORONTO.COM,SALES@SPORTSEQUIPMENTOFTORONTO.COM,905-475-2440,0,905-475-5597, , ,In Person,12/20/2019,8/1/2019
11787,633105,4853234, ,AVANTI SPORTS GROUP,1436,7330 VICTORIA PARK AVENUE,7330,VICTORIA PARK,Avenue, ,B,Markham,Markham,ONTARIO,CANADA,L3R1J1,7330 VICTORIA PARK AVENUE,7330,VICTORIA PARK,Avenue, ,B,Markham,Markham,ONTARIO,CANADA,L3R1J1, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,"WHOLESALER AND DISTRIBUTOR OF SPORTING GOODS, SOCCER EQUIPMENT, JERSEYS, SOCCER BALLS ETC.",0,0,NA,NOT APPLICABLE,9-May,1984,WWW.AVANTISPORTS.NET,SALES@AVANTISPORTS.NET,905-470-0069,0,905-479-6696,877-470-0069, ,In Person,12/20/2019,8/2/2019
11822,633801,4857014, ,UNIONVILLE ATHLETIC CLUB,1176,8500 WARDEN AVENUE,8500,WARDEN,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6G1A5,8500 WARDEN AVENUE,8500,WARDEN,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6G1A5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"GYM, POOL, FITNESS CENTER FOR MEMBERS AND HOTEL GUESTS",0,0,NA,NOT APPLICABLE,20-49,2016,WWW.UNIONVILLEAC.COM,INFO@UNIONVILLEAC.COM,905-470-2400,0, , , ,In Person,12/20/2019,6/3/2019
12323,632300,4854581, ,GREENFIELD GOLF INC.,1161,7780 WOODBINE AVENUE,7780,WOODBINE,Avenue, ,6-May,Markham,Markham,ONTARIO,CANADA,L3R2N7,7780 WOODBINE AVENUE,7780,WOODBINE,Avenue, ,6-May,Markham,Markham,ONTARIO,CANADA,L3R2N7, ,45111,SPORTING GOODS STORES, , , , ,RETAIL STORE FOR GOLF AND ACCESSORIES,0,0,NA,NOT APPLICABLE,4-Jan,1991,WWW.GREENFIELDGOLF.CA,INFO@GREENFIELDGOLF.CA,905-946-1730,0,905-946-1731, , ,In Person,12/20/2019,8/7/2019
12518,630573,4863738, ,BAKER'S HARNESS & SADDLERY,1167,11181 WOODBINE AVENUE,11181,WOODBINE,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6C1J4,11181 WOODBINE AVENUE,11181,WOODBINE,Avenue, , ,Gormley,Markham,ONTARIO,CANADA,L0H1G0,297,45111,SPORTING GOODS STORES, , , , ,"RETAIL HORSE RIDING EQUIPMENT, SADDLES, EQUESTRIAN EQUIPMENT",0,0,NA,NOT APPLICABLE,9-May,1986,WWW.BAKERSSADDLERY.COM,INFO@BAKERSSADDLERY.COM,905-887-9441,0,905-887-9232, , ,In Person,12/20/2019,5/27/2019
13043,628660,4853143,CITY OF MARKHAM,THORNHILL COMMUNITY CENTRE,1153,7755 BAYVIEW AVENUE,7755,BAYVIEW,Avenue, , ,Thornhill,Markham,ONTARIO,CANADA,L3T4P1,7755 BAYVIEW AVENUE,7755,BAYVIEW,Avenue, , ,Thornhill,Markham,ONTARIO,CANADA,L3T4P1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,FITNESS CENTRE AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,100-499,1973,WWW.MARKHAM.CA, ,905-477-7000,0,905-944-3802, , ,other,12/20/2019,9/17/2019
13044,633567,4853778, ,GOLF CLEARANCE WAREHOUSE INC.,1178,692 DENISON STREET,692,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3R1C1,692 DENISON STREET,692,DENISON,Street, , ,Markham,Markham,ONTARIO,CANADA,L3R1C1, ,45111,SPORTING GOODS STORES,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , ,"GOLF EQUIPMENT RETAIL STORE AND WHOLESALE. GOLF BALLS, BAGS, CLUBS. HAS A WAREHOUSE IN THE BACK, AND SHIPS ITEMS TO STORES",0,0,NA,NOT APPLICABLE,4-Jan,2015,WWW.GOLFCLEARANCEWAREHOUSE.COM,INFO@GOLFCLEARENCEWEAREHOUSE.COM,905-470-0974,0,905-470-7765,877-344-6535, ,In Person,12/20/2019,7/16/2019
13228,639947,4859313,CITY OF MARKHAM,MARKHAM VILLAGE COMMUNITY CENTRE,1217,6041 HIGHWAY 7,6041,7, , , ,Markham,Markham,ONTARIO,CANADA,L3P3A7,6041 HIGHWAY 7,6041,7, , , ,Markham,Markham,ONTARIO,CANADA,L3P3A7, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,ARENA AND COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,9-May,1923,WWW.MARKHAM.CA, ,905-294-7309,0, , , ,other,12/20/2019,9/17/2019
13265,629726,4864072, ,FLETCHER'S FIELDS LTD.,1166,2743 19TH AVENUE,2743,19TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6C1L7,2743 19TH AVENUE,2743,19TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6C1L7,114,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"RUGBY AND OTHER FIELD SPORTS FACILITY. ALSO, HOSTS EVENTS AND WEDDINGS AS WELL",0,0,NA,NOT APPLICABLE,19-Oct,1950,WWW.FLETCHERSFIELDS.CA,GMFLETCHERSFIELDS@GMAIL.COM,905-887-7396,0, , , ,In Person,12/20/2019,5/27/2019
13691,627677,4851389, ,FIGURE SKATING BOUTIQUE,1147,109 DONCASTER AVENUE,109,DONCASTER,Avenue, , ,Thornhill,Markham,ONTARIO,CANADA,L3T1L6,109 DONCASTER AVENUE,109,DONCASTER,Avenue, , ,Thornhill,Markham,ONTARIO,CANADA,L3T1L6, ,45111,SPORTING GOODS STORES,81149,OTHER PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE, , ,"SELLS SKATE EQUIPMENT, SUPPLIES, AND DOES SKATE SHARPENING. ADDITIONALLY SELLS CLOTHING AND ACCESSORIES",0,0,NA,NOT APPLICABLE,19-Oct,2016,WWW.SKATINGBOUTIQUE.COM,INFO@SKATINGBOUTIQUE.COM,416-225-1377,0, ,877-236-1377, ,In Person,12/20/2019,6/26/2019
