 ,description,email,extra,extra2,extra3,facebook,friday,id,image_url,instagram,loc_lat,loc_long,monday,name,phone,priority,saturday,streetaddress,sunday,tags/0,thursday,tuesday,twitter,website,wednesday,color
,,,,,,,,26536259,,,43.664606,-79.414538,,630 Bloor St W,(416) 533-7732,,,"630 Bloor St W, Toronto, ON M6G 1K7, Canada",,Toronto,,,,https://gosnappy.io/owa/snappy/detail/G2991/2996/,,
,,,,,,,,26536258,,,43.666796,-79.385547,,648 Yonge,(647) 348-8181,,,"648 Yonge St, Toronto, ON M4Y 2A6, Canada",,Toronto,,,,https://gosnappy.io/owa/snappy/detail/G2991/2995/,,
,,,,,,,,26536268,,,43.753641,-79.357854,,808 York Mills,(647) 344-2626,,,"808 York Mills Rd., Unit 31, North York, ON M3B 1X8, Canada",,North York,,,,https://gosnappy.io/owa/snappy/detail/G2991/3026/m/menu_60,,
,,,,,,,,33587133,,,43.85837,-79.33356,,8601 Warden Ave.,(905) 940-6333,,,"8601 Warden Ave. Unit 10, Markham. ON L3R 0B5",,markham,,,,https://gosnappy.io/owa/snappy/detail/G2991/3047/m/menu_60,,
,,,,,,0,,26536273,,0,43.859292,-79.433205,,9555 Yonge St,(905) 237-1686,,,"9555 Yonge St, Unit 1, Richmond Hill, ON L4C 9M5, Canada",,Richmond Hill,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3004/,,
,,,,,,0,,26536291,,0,43.861951,-79.017751,,Ajax,(905) 619-0440,,,"145 Kingston Road East Unit 18, Ajax, ON L1S 7J4, Canada",,Ajax,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3024/m/menu_60,,
,,,,,,,,28917828,,,44.00814,-79.44526,,Aurora,(905) 726-3666,,,"4-15380 Bayview Ave. Aurora, ON L4G 7J1",,Aurora,,,,https://gosnappy.io/owa/snappy/detail/G2991/3037/m/menu_60,,
,,,,,,,,31788409,,,43.61558,-79.6606,,Bristol Mississauga,(905) 502-8800,,,"7-60 Bristol Rd East. Mississauga, ON L4Z 3K8",,mississauga,,,,https://gosnappy.io/owa/snappy/detail/G2991/3041/m/menu_60,,
,,,,,,,,26536256,,,43.655857,-79.398843,,China Town,(647) 341-2996,,,"371 Spadina Ave, Toronto, ON M5T 2G3, Canada",,Toronto,,,,https://gosnappy.io/owa/snappy/detail/G2991/2993/,,
,,,,,,,,26536272,,,43.84254,-79.386709,,Commerce Gate,(905) 597-9007,,,"505 Hwy 7, Unit 5, Thornhill, ON L3T 7P6, Canada",,Vaughan,,,,https://gosnappy.io/owa/snappy/detail/G2991/3003/,,
,,,,,,,,26536261,,,43.725666,-79.341623,,Don Mill & Eglinton,(416) 447-8828,,,"890 Don Mills Rd, Unit 130 & 132, North York, ON M3C 1V6, Canada",,North York,,,,https://gosnappy.io/owa/snappy/detail/G2991/2998/,,
,,,,,,,,26536265,,,43.771708,-79.280373,,Foody World,(416) 609-3335,,,"8 William Kitchen Rd, Scarborough, ON M1P 5B7, Canada",,Scarborough,,,,https://gosnappy.io/owa/snappy/detail/G2991/3019/,,
,,,,,,,,32764257,,,43.51676,-80.20398,,Guelph,(519) 836-1888,,,1219 Gordon St Guelph ON N1L 0M9 Canada,,Guelph,,,,https://gosnappy.io/owa/snappy/detail/G2991/3044/m/menu_60,,
,,,,,,,,26536281,,,43.257904,-79.925195,,Hamilton – 1548 Main St W,(289) 396-0888,,,"1548 Main St W, Hamilton, ON L8S 1E5, Canada",,Hamilton,,,,https://gosnappy.io/owa/snappy/detail/G2991/3017/,,
,,,,,,,,26536280,,,43.254292,-79.866003,,Hamilton – 96 Main St E,(905) 521-6888,,,"96 Main St E, Hamilton, ON L8N 1G3, Canada",,Hamilton,,,,https://gosnappy.io/owa/snappy/detail/G2991/3009/,,
,,,,,,,,30257829,,,43.59813,-79.51874,,Humber College,(416) 255-2626,,,"3180 Lake Shore Blvd West Unit 6, Etobicoke, ON M8V 1L7",,Etobicoke,,,,https://gosnappy.io/owa/snappy/detail/G2991/3038/m/menu_60,,
,,,,,,,,26536266,,,43.773616,-79.492142,,Keele & Steeles W,(416) 551-2625,,,"4205 Keele St, Unit 12, North York, ON M3J 3T8, Canada",,North York,,,,https://gosnappy.io/owa/snappy/detail/G2991/3018/,,
,,,,,,,,32524294,,,43.72323,-79.28891,,Lebovic Scarborough,(416) 752-8889,,,"41 Lebovic Ave Unit A111, Scarborough,ON M1L 0H2",,scarborough,,,,https://gosnappy.io/owa/snappy/detail/G2991/3043/m/menu_60,,
,,,,,,,,26536285,,,42.982853,-81.292517,,London,(519) 473-8882,,,"654 Wonderland Rd N, London, ON N6H 3E5, Canada",,London,,,,https://gosnappy.io/owa/snappy/detail/G2991/3013/,,
,,,,,,,,31788410,,,43.8056,-79.220959,,Malvern (FreshLand Supermarket),416-292-2996,,,"99-31 Tapscott Rd. Scarborough, ON M1B 4Y7",,scarborough,,,,https://gosnappy.io/owa/snappy/detail/G2991/3042/m/menu_60,,
,,,,,,,,26536269,,,43.818925,-79.33075,,Metro Square,(905) 604-6963,,,"3636 Steeles Ave E, Unit 103A, Markham, ON L3R 1K9, Canada",,Markham,,,,https://gosnappy.io/owa/snappy/detail/G2991/3001/,,
,,,,,,,,26536263,,,43.806539,-79.28885,,Midland & Finch,(416) 546-2996,,,"3300 Midland Ave, Unit 36, Scarborough, ON M1V 4A1, Canada",,Scarborough,,,,https://gosnappy.io/owa/snappy/detail/G2991/3000/,,
,,,,,,,,32524782,,,43.517384,-79.876124,,Milton,(905) 636-1889,,,"55 Ontario St S Unit D08, Milton, ON L9T 2M3",,milton,,,,https://gosnappy.io/owa/snappy/detail/G2991/3045/m/menu_60,,
,,,,,,,,26536277,,,43.527383,-79.675023,,Mississauga - 2458 Dundas W,(905) 822-3262,,,"2458 Dundas St W, Unit 13B, Mississauga, ON L5K 1R8, Canada",,Mississauga,,,,https://gosnappy.io/owa/snappy/detail/G2991/3007/,,
,,,,,,0,,26536278,,0,43.558104,-79.706346,,Mississauga - 2520 Eglinton Ave W,(905) 569-2520,,,"2520 Eglinton Ave W Unit 7, Mississauga, ON L5M 0Y4, Canada",,Mississauga,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3028/m/menu_60,,
,,,,,,,,26536275,,,43.605667,-79.652815,,Mississauga - 30 Eglinton W,(905) 232-2750,,,"30 Eglinton Ave W, Unit 6, Mississauga, ON L5R 3E7, Canada",,Mississauga,,,,https://gosnappy.io/owa/snappy/detail/G2991/3005/,,
,,,,,,,,26536276,,,43.567726,-79.660504,,Mississauga - B Trust Supermarket,(905) 566-8828,,,"1177 Central Pkwy W, Unit 30, Mississauga, ON L5C 4P3, Canada",,Mississauga,,,,https://gosnappy.io/owa/snappy/detail/G2991/3006/,,
,,,,,,,,26536270,,,43.859583,-79.304772,,New Kennedy Square,(905) 944-0784,,,"8360 Kennedy Rd, Unit B15, Unionville, ON L3R 9W4, Canada",,Markham,,,,https://gosnappy.io/owa/snappy/detail/G2991/2991/,,
,,,,,,0,,26536283,,0,43.091784,-79.074965,,Niagara Falls,(289) 723-0288,,,"4955 Clifton Hill, Niagara Falls, ON L2G 3N5, Canada",,Niagara Falls,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3011/,,
,,,,,,,,26536290,,,43.94226,-78.888398,,Oshawa,(905) 571-3555,,,"1800 Simcoe St N Unit 3, Oshawa, ON L1G 4X9, Canada",,Oshawa,,,,https://gosnappy.io/owa/snappy/detail/G2991/3016/,,
,,,,,,,,26536288,,,45.309603,-75.914315,,Ottawa – 120B Earl Grey Dr,(613) 800-0787,,,"120B Earl Grey Dr, Ottawa, ON K2T 1B6, Canada",,Ottawa,,,,https://gosnappy.io/owa/snappy/detail/G2991/3027/m/menu_60,,
,,,,,,0,,26536287,,0,45.351681,-75.734708,,Ottawa – 1568 Merivale,(613) 216-1234,,,"1568 Merivale Rd, Unit 12, Ottawa , ON K2G 3J9, Canada",,Ottawa,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3015/,,
,,,,,,,,26536289,,,45.425577,-75.681534,,Ottawa – 218A Laurier Ave E,(613) 800-3358,,,"218A Laurier Ave E, Ottawa, ON K1N 6P2, Canada",,Ottawa,,,,https://gosnappy.io/owa/snappy/detail/G2991/3022/,,
,,,,,,,,26536286,,,45.415368,-75.696717,,Ottawa – 290 Banks,(613) 233-1996,,,"290 Bank St, Ottawa, ON K2P 1X6, Canada",,Ottawa,,,,https://gosnappy.io/owa/snappy/detail/G2991/3014/,,
,,,,,,,,30257827,,,45.335388,-75.690705,,Ottawa – Airport,(613) 739-1688,,,"2-222 Hunt Club Rd. Ottawa, ON K1V 1C1",,ottawa,,,,https://gosnappy.io/owa/snappy/detail/G2991/3039/m/menu_60,,
,,,,,,0,,28021014,,0,43.833407,-79.089621,,Pickering,(905) 831-8800,,,"25-1794 Liverpool Road. Pickering, ON L1V 4G7",,Pickering,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3036/m/menu_60,,
,,,,,,0,,26536282,,0,43.135533,-79.21451,,St. Catharines,(905) 680-2112,,,"344 Glendale Ave, Unit B7, St. Catharines, ON L2T 4E3, Canada",,St. Catharines,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3010/,,
,,,,,,0,,27441618,,0,43.83218,-79.2667,,Steeles & Middlefield,(416) 293-2666,,,"9-5651 Steeles Ave E, Scarborough, ON M1V 5P6",,scarborough,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3032/m/menu_60,,
,,,,,,0,,27751269,,0,43.8096,-79.42348,,Thornhill Clark,(905) 597-8266,,,"17D - 7398 Yonge St, Thornhill, ON L4J 8J2",,thornhill,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3034/m/menu_60,,
,,,,,,,,26536264,,,43.757096,-79.312411,,Victoria Park & Ellesmere,(647) 498-7988,,,"85 Ellesmere Rd, Unit 6, Toronto, ON M1R 4B8, Canada",,Toronto,,,,https://gosnappy.io/owa/snappy/detail/G2991/3020/,,
,,,,,,0,,26536284,,0,43.472339,-80.533848,,Waterloo,(519) 725-8885,,,"203 Lester St, Unit 3, Waterloo, ON N2L 3W4, Canada",,Waterloo,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3012/,,
,,,,,,0,,26536267,,0,43.8177,-79.2819,,Woodside Square Mall,(416) 792-3299,,,"105A-1571 Sandhurst Circle, Scarborough, ON M1V 1V2, Canada",,Scarborough,,,0,https://gosnappy.io/owa/snappy/detail/G2991/3025/m/menu_60,,
,,,,,,,,26536260,,,43.70851,-79.399072,,Yonge & Eglinton,(647) 348-1354,,,"2352 Yonge St, Toronto, ON M4P 2E6, Canada",,Toronto,,,,https://gosnappy.io/owa/snappy/detail/G2991/2997/,,
,,,,,,,,26536262,,,43.779202,-79.417114,,Yonge & Finch,(416) 221-4135,,,"17B Finch Ave W, North York, ON M2N 7K4, Canada",,North York,,,,https://gosnappy.io/owa/snappy/detail/G2991/2999/,,
