OID_,id,loc_lat,loc_long,name,phone,streetaddress,tags_0,website
16,26536291,43.861950999999998,-79.017751000000004,Ajax,(905) 619-0440,"145 Kingston Road East Unit 18, Ajax, ON L1S 7J4, Canada",Ajax,https://gosnappy.io/owa/snappy/detail/G2991/3024/m/menu_60
17,28917828,44.008139999999997,-79.445260000000005,Aurora,(905) 726-3666,"4-15380 Bayview Ave. Aurora, ON L4G 7J1",Aurora,https://gosnappy.io/owa/snappy/detail/G2991/3037/m/menu_60
18,31788409,43.615580000000001,-79.660600000000002,Bristol Mississauga,(905) 502-8800,"7-60 Bristol Rd East. Mississauga, ON L4Z 3K8",mississauga,https://gosnappy.io/owa/snappy/detail/G2991/3041/m/menu_60
19,26536256,43.655856999999997,-79.398842999999999,China Town,(647) 341-2996,"371 Spadina Ave, Toronto, ON M5T 2G3, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/2993/
20,26536272,43.842540000000000,-79.386708999999996,Commerce Gate,(905) 597-9007,"505 Hwy 7, Unit 5, Thornhill, ON L3T 7P6, Canada",Vaughan,https://gosnappy.io/owa/snappy/detail/G2991/3003/
21,26536261,43.725665999999997,-79.341622999999998,Don Mill & Eglinton,(416) 447-8828,"890 Don Mills Rd, Unit 130 & 132, North York, ON M3C 1V6, Canada",North York,https://gosnappy.io/owa/snappy/detail/G2991/2998/
22,26536265,43.771707999999997,-79.280372999999997,Foody World,(416) 609-3335,"8 William Kitchen Rd, Scarborough, ON M1P 5B7, Canada",Scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3019/
23,32764257,43.516759999999998,-80.203980000000001,Guelph,(519) 836-1888,1219 Gordon St Guelph ON N1L 0M9 Canada,Guelph,https://gosnappy.io/owa/snappy/detail/G2991/3044/m/menu_60
24,26536281,43.257904000000003,-79.925195000000002,Hamilton – 1548 Main St W,(289) 396-0888,"1548 Main St W, Hamilton, ON L8S 1E5, Canada",Hamilton,https://gosnappy.io/owa/snappy/detail/G2991/3017/
25,26536280,43.254292000000000,-79.866003000000006,Hamilton – 96 Main St E,(905) 521-6888,"96 Main St E, Hamilton, ON L8N 1G3, Canada",Hamilton,https://gosnappy.io/owa/snappy/detail/G2991/3009/
26,30257829,43.598129999999998,-79.518739999999994,Humber College,(416) 255-2626,"3180 Lake Shore Blvd West Unit 6, Etobicoke, ON M8V 1L7",Etobicoke,https://gosnappy.io/owa/snappy/detail/G2991/3038/m/menu_60
27,26536266,43.773615999999997,-79.492142000000001,Keele & Steeles W,(416) 551-2625,"4205 Keele St, Unit 12, North York, ON M3J 3T8, Canada",North York,https://gosnappy.io/owa/snappy/detail/G2991/3018/
28,32524294,43.723230000000001,-79.288910000000001,Lebovic Scarborough,(416) 752-8889,"41 Lebovic Ave Unit A111, Scarborough,ON M1L 0H2",scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3043/m/menu_60
29,26536285,42.982852999999999,-81.292517000000004,London,(519) 473-8882,"654 Wonderland Rd N, London, ON N6H 3E5, Canada",London,https://gosnappy.io/owa/snappy/detail/G2991/3013/
30,31788410,43.805599999999998,-79.220958999999993,Malvern (FreshLand Supermarket),416-292-2996,"99-31 Tapscott Rd. Scarborough, ON M1B 4Y7",scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3042/m/menu_60
31,26536269,43.818925000000000,-79.330749999999995,Metro Square,(905) 604-6963,"3636 Steeles Ave E, Unit 103A, Markham, ON L3R 1K9, Canada",Markham,https://gosnappy.io/owa/snappy/detail/G2991/3001/
32,26536263,43.806539000000001,-79.288849999999996,Midland & Finch,(416) 546-2996,"3300 Midland Ave, Unit 36, Scarborough, ON M1V 4A1, Canada",Scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3000/
33,32524782,43.517384000000000,-79.876124000000004,Milton,(905) 636-1889,"55 Ontario St S Unit D08, Milton, ON L9T 2M3",milton,https://gosnappy.io/owa/snappy/detail/G2991/3045/m/menu_60
34,26536277,43.527383000000000,-79.675022999999996,Mississauga - 2458 Dundas W,(905) 822-3262,"2458 Dundas St W, Unit 13B, Mississauga, ON L5K 1R8, Canada",Mississauga,https://gosnappy.io/owa/snappy/detail/G2991/3007/
35,26536278,43.558104000000000,-79.706345999999996,Mississauga - 2520 Eglinton Ave W,(905) 569-2520,"2520 Eglinton Ave W Unit 7, Mississauga, ON L5M 0Y4, Canada",Mississauga,https://gosnappy.io/owa/snappy/detail/G2991/3028/m/menu_60
36,26536275,43.605666999999997,-79.652815000000004,Mississauga - 30 Eglinton W,(905) 232-2750,"30 Eglinton Ave W, Unit 6, Mississauga, ON L5R 3E7, Canada",Mississauga,https://gosnappy.io/owa/snappy/detail/G2991/3005/
37,26536276,43.567726000000000,-79.660504000000003,Mississauga - B Trust Supermarket,(905) 566-8828,"1177 Central Pkwy W, Unit 30, Mississauga, ON L5C 4P3, Canada",Mississauga,https://gosnappy.io/owa/snappy/detail/G2991/3006/
38,26536270,43.859583000000001,-79.304772000000000,New Kennedy Square,(905) 944-0784,"8360 Kennedy Rd, Unit B15, Unionville, ON L3R 9W4, Canada",Markham,https://gosnappy.io/owa/snappy/detail/G2991/2991/
39,26536283,43.091783999999997,-79.074965000000006,Niagara Falls,(289) 723-0288,"4955 Clifton Hill, Niagara Falls, ON L2G 3N5, Canada",Niagara Falls,https://gosnappy.io/owa/snappy/detail/G2991/3011/
40,26536290,43.942259999999997,-78.888397999999995,Oshawa,(905) 571-3555,"1800 Simcoe St N Unit 3, Oshawa, ON L1G 4X9, Canada",Oshawa,https://gosnappy.io/owa/snappy/detail/G2991/3016/
41,26536288,45.309603000000003,-75.914315000000002,Ottawa – 120B Earl Grey Dr,(613) 800-0787,"120B Earl Grey Dr, Ottawa, ON K2T 1B6, Canada",Ottawa,https://gosnappy.io/owa/snappy/detail/G2991/3027/m/menu_60
42,26536287,45.351680999999999,-75.734707999999998,Ottawa – 1568 Merivale,(613) 216-1234,"1568 Merivale Rd, Unit 12, Ottawa , ON K2G 3J9, Canada",Ottawa,https://gosnappy.io/owa/snappy/detail/G2991/3015/
43,26536289,45.425576999999997,-75.681533999999999,Ottawa – 218A Laurier Ave E,(613) 800-3358,"218A Laurier Ave E, Ottawa, ON K1N 6P2, Canada",Ottawa,https://gosnappy.io/owa/snappy/detail/G2991/3022/
44,26536286,45.415368000000001,-75.696717000000007,Ottawa – 290 Banks,(613) 233-1996,"290 Bank St, Ottawa, ON K2P 1X6, Canada",Ottawa,https://gosnappy.io/owa/snappy/detail/G2991/3014/
45,30257827,45.335388000000002,-75.690704999999994,Ottawa – Airport,(613) 739-1688,"2-222 Hunt Club Rd. Ottawa, ON K1V 1C1",ottawa,https://gosnappy.io/owa/snappy/detail/G2991/3039/m/menu_60
46,28021014,43.833407000000001,-79.089620999999994,Pickering,(905) 831-8800,"25-1794 Liverpool Road. Pickering, ON L1V 4G7",Pickering,https://gosnappy.io/owa/snappy/detail/G2991/3036/m/menu_60
47,26536282,43.135533000000002,-79.214510000000004,St. Catharines,(905) 680-2112,"344 Glendale Ave, Unit B7, St. Catharines, ON L2T 4E3, Canada",St. Catharines,https://gosnappy.io/owa/snappy/detail/G2991/3010/
48,27441618,43.832180000000001,-79.266700000000000,Steeles & Middlefield,(416) 293-2666,"9-5651 Steeles Ave E, Scarborough, ON M1V 5P6",scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3032/m/menu_60
49,27751269,43.809600000000003,-79.423479999999998,Thornhill Clark,(905) 597-8266,"17D - 7398 Yonge St, Thornhill, ON L4J 8J2",thornhill,https://gosnappy.io/owa/snappy/detail/G2991/3034/m/menu_60
50,26536264,43.757095999999997,-79.312410999999997,Victoria Park & Ellesmere,(647) 498-7988,"85 Ellesmere Rd, Unit 6, Toronto, ON M1R 4B8, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/3020/
51,26536284,43.472338999999998,-80.533848000000006,Waterloo,(519) 725-8885,"203 Lester St, Unit 3, Waterloo, ON N2L 3W4, Canada",Waterloo,https://gosnappy.io/owa/snappy/detail/G2991/3012/
52,26536267,43.817700000000002,-79.281899999999993,Woodside Square Mall,(416) 792-3299,"105A-1571 Sandhurst Circle, Scarborough, ON M1V 1V2, Canada",Scarborough,https://gosnappy.io/owa/snappy/detail/G2991/3025/m/menu_60
53,26536260,43.708509999999997,-79.399072000000004,Yonge & Eglinton,(647) 348-1354,"2352 Yonge St, Toronto, ON M4P 2E6, Canada",Toronto,https://gosnappy.io/owa/snappy/detail/G2991/2997/
54,26536262,43.779201999999998,-79.417113999999998,Yonge & Finch,(416) 221-4135,"17B Finch Ave W, North York, ON M2N 7K4, Canada",North York,https://gosnappy.io/owa/snappy/detail/G2991/2999/
